date,equity,buy_hold_equity,leveraged_buy_hold_equity,ma120_timing_equity,leveraged_ma120_timing_equity,daily_return,buy_hold_daily_return,leveraged_buy_hold_daily_return,ma120_timing_daily_return,leveraged_ma120_timing_daily_return,target_exposure,actual_equivalent_exposure,overnight_equivalent_exposure,intraday_equivalent_exposure,post_close_equivalent_exposure,pending_next_open_equivalent_exposure,local_defensive_percent,post_close_local_defensive_percent,trend_label,vix_label
2010-06-24,1000000.0,1000000.0,999964.2857142858,1000000.0,999964.2857142858,0.0,0.0,-3.571428571428571e-05,0.0,-3.571428571428571e-05,240.0,0.0,0.0,0.0,240.0,240.0,0.0,0.0,risk_watch,low
2010-06-25,1010027.9320063781,1004188.7216693242,1012494.2889204466,1004188.7216693242,1012494.2889204466,0.010027932006377978,0.004188721669324158,0.012530450722258188,0.004188721669324158,0.012530450722258188,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,risk_watch,low
2010-06-28,1002362.3600245711,1001023.6588446149,1002884.4059665058,1001023.6588446149,1002884.4059665058,-0.007589465339418458,-0.003151860558091024,-0.009491295959987359,-0.003151860558091024,-0.009491295959987359,100.0,240.0,240.0,240.0,100.0,100.0,0.0,0.0,risk_off,low
2010-06-29,971414.1511458857,970116.7827268109,909955.6071014215,1001023.6588446149,1002884.4059665058,-0.030875270374205566,-0.030875270374205566,-0.09266152540833099,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,normal
2010-06-30,962185.8860091713,960900.8423639708,883989.8496488096,1001023.6588446149,1002884.4059665058,-0.009499825718853994,-0.009499825718853994,-0.028535191442276266,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,normal
2010-07-01,957898.0099967644,956618.6930078175,872140.0667591236,1001023.6588446149,1002884.4059665058,-0.004456390469612437,-0.004456390469612437,-0.013404885694551597,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,normal
2010-07-02,952677.9051015598,951405.5598035516,857850.628608936,1001023.6588446149,1002884.4059665058,-0.005449541434188965,-0.005449541434188965,-0.01638433858828118,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,normal
2010-07-06,958923.603086015,957642.9163701774,874692.0395932532,1001023.6588446149,1002884.4059665058,0.0065559387396407764,0.0065559387396407764,0.019632101933208045,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-07,989125.9346463468,987804.9113232007,957308.903865011,1001023.6588446149,1002884.4059665058,0.03149607691700829,0.03149607691700829,0.09445251646531057,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-08,998913.7255369707,997579.6301674898,985693.5607617114,1010929.1824045056,1032620.3978239727,0.009895394052248152,0.009895394052248152,0.02965046787103017,0.009895394052248152,0.02965046787103017,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-09,1006371.1797508893,1005027.1246072252,1007734.6321086931,1018476.3387790394,1055710.799109742,0.00746556386529762,0.00746556386529762,0.022360977310178574,0.00746556386529762,0.022360977310178574,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-12,1007023.7870749052,1005678.8603440492,1009659.1160556115,1019136.7960053569,1057726.9037673976,0.0006484757683318243,0.0006484757683318243,0.0019097130192811873,0.0006484757683318243,0.0019097130192811873,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-13,1022217.9402130622,1020852.720989645,1055324.8031462452,1034513.7123662058,1105566.6400176731,0.015088176995591507,0.015088176995591507,0.045228816701060236,0.015088176995591507,0.045228816701060236,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-14,1022124.6702187248,1020759.5755616883,1054998.2407062529,1034419.3204715826,1105224.5306135714,-9.124276797378705e-05,-9.124276797378705e-05,-0.0003094425896356469,-9.124276797378705e-05,-0.0003094425896356469,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-15,1022404.1975653908,1021038.7295866858,1055826.1147106355,1034702.2101194077,1106091.8179914996,0.00027347676346201055,0.00027347676346201055,0.0007847160046717459,0.00027347676346201055,0.0007847160046717459,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-16,994252.5811229828,992924.7109269281,968572.7676090074,1006211.9713070515,1014684.5190273769,-0.02753472306690874,-0.02753472306690874,-0.08263988348644051,-0.02753472306690874,-0.08263988348644051,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-19,1000125.1049179725,998789.3916954363,985700.71590676,1012155.1328904291,1032627.8936107169,0.005906470756512183,0.005906470756512183,0.017683697983822265,0.005906470756512183,0.017683697983822265,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-20,1011218.1104566285,1009867.5820133737,1018464.5594906888,1023381.5709029551,1066951.556199863,0.011091617922705632,0.011091617922705632,0.03323913948240261,0.011091617922705632,0.03323913948240261,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-21,998074.5782242798,996741.6035747527,978715.0270617281,1010079.9413889418,1025309.6305303971,-0.012997722347371288,-0.012997722347371288,-0.03902888132782815,-0.012997722347371288,-0.03902888132782815,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-22,1020353.1055990055,1018990.3769482571,1044219.2520836284,1032626.4465458321,1093932.3765783627,0.022321505687843857,0.022321505687843857,0.06692880277781728,0.022321505687843857,0.06692880277781728,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-23,1029209.1386674094,1027834.5823758884,1071371.4878588254,1041589.0046129726,1122377.2742870657,0.00867938071615404,0.00867938071615404,0.026002427862747833,0.00867938071615404,0.026002427862747833,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
